store_id,city,state,sales_region,new_expansion,marketing_spend,revenue,profit,ROMS,ROMS%
118,Bellevue,Washington,Region 2,Old,2542,40462,37920,1491.74,14.92
119,Huntington Beach,California,Region 2,Old,2527,54145,51618,2042.66,20.43
120,Santa Clarita,California,Region 2,Old,2967,51882,48915,1648.63,16.49
121,Sterling Heights,Michigan,Region 1,Old,2357,35022,32665,1385.87,13.86
122,Mobile,Alabama,Region 1,Old,2838,49290,46452,1636.79,16.37
123,Bridgeport,Connecticut,Region 1,Old,2914,47108,44194,1516.61,15.17
124,Daly City,California,Region 2,Old,2658,20703,18045,678.89,6.79
125,Rochester,Minnesota,Region 1,Old,2854,18099,15245,534.16,5.34
126,Sandy Springs,Georgia,Region 1,Old,2759,18942,16183,586.55,5.87
127,Cedar Rapids,Iowa,Region 1,Old,2553,52072,49519,1939.64,19.4
128,Columbus,Georgia,Region 1,Old,2877,55203,52326,1818.77,18.19
129,Moreno Valley,California,Region 2,Old,3507,59254,55747,1589.59,15.9
130,Pompano Beach,Florida,Region 1,Old,2608,21603,18995,728.34,7.28
131,Savannah,Georgia,Region 1,Old,2028,36029,34001,1676.58,16.77
132,West Jordan,Utah,Region 2,Old,2773,21056,18283,659.32,6.59
133,Des Moines,Iowa,Region 1,Old,2995,57432,54437,1817.6,18.18
134,Green Bay,Wisconsin,Region 1,Old,3586,18454,14868,414.61,4.15
135,Santa Rosa,California,Region 2,Old,3067,59060,55993,1825.66,18.26
136,San Mateo,California,Region 2,Old,1811,19426,17615,972.67,9.73
137,Warren,Michigan,Region 1,Old,2736,47262,44526,1627.41,16.27
138,Norwalk,California,Region 2,Old,3112,19703,16591,533.13,5.33
139,Lafayette,Louisiana,Region 1,Old,2603,40255,37652,1446.48,14.46
140,Providence,Rhode Island,Region 1,Old,3191,62337,59146,1853.53,18.54
141,Chattanooga,Tennessee,Region 2,New,3587,55357,51770,1443.27,14.43
142,Tempe,Arizona,Region 2,New,2911,48954,46043,1581.69,15.82
143,Joliet,Illinois,Region 1,New,3279,48315,45036,1373.47,13.73
144,Rancho Cucamonga,California,Region 2,New,2945,52366,49421,1678.13,16.78
145,Glendale,California,Region 2,New,2363,49376,47013,1989.55,19.9
146,Paterson,New Jersey,Region 1,New,2251,34603,32352,1437.23,14.37
147,Brownsville,Texas,Region 2,New,3675,63148,59473,1618.31,16.18
148,Rockford,Illinois,Region 1,New,2648,43377,40729,1538.1,15.38
149,College Station,Texas,Region 2,New,2994,22457,19463,650.07,6.5
150,Thousand Oaks,California,Region 2,New,2431,40141,37710,1551.21,15.51
